Conteúdo,Título do vídeo,Horário de publicação do vídeo,Visualizações,Tempo de exibição (horas),Inscritos,Receita estimada (USD),Impressões,Taxa de cliques de impressões (%)
Total,,,32691244,1502418.2753,89407,18472.646,182898939,11.42
MB8ilXEUvRs,"Pedro Cardoso implode debate na CNN, acaba com Moro e Bolsonaro e critica o jornalismo capitalista","Mar 25, 2023",758264,56634.0561,6426,914.456,4925189,10.04
oB1rpOQCr0Y,😂 Bolsonaristas passam muita vergonha na CPI do MST diante de Professor! Veja os melhores momentos,"Jun 15, 2023",480575,72356.6088,2686,842.328,4639818,7.1
6s0bWKs_c6w,✨Brilhante! Pastor Henrique Vieira desmonta ex-chefe da PRF e expõe golpismo fracassado de Bolsonaro,"Jun 21, 2023",460642,41731.487,1571,567.128,3147563,9.72
9OsyoilhVYM,‎️‍🔥Senado pega fogo!‎️‍🔥 Dino janta Sérgio Moro ao vivo. Assista!,"May 9, 2023",671531,39763.6888,2243,561.433,4179108,10.87
hKZrvYmwRaU,Ministro Flávio Dino detona Flávio Bolsonaro no Senado!,"May 9, 2023",679075,43214.0849,2416,539.573,5017878,9.24
XHD-8tbQ1S0,Flávio Dino atropela bolsonaristas na câmara! Melhores momentos da oposição passando muita vergonha!,"Mar 29, 2023",784512,41551.6022,3124,531.289,4221050,14.98
ojZxkX1E4s0,"🔥 ""Vocês são o lixo do Exército Brasileiro"" Rogério Carvalho joga duro com coronel que tramou golpe","Jun 27, 2023",463112,39448.0522,1620,480.762,3084874,10.22
HndAo4OH6hk,Boris Casoy defende Dallagnol e é massacrado ao vivo por promotor de justiça!,"May 27, 2023",421043,24322.7405,1980,397.747,3289985,9.44
P4ou1Ur1tZQ,Pastor Henrique Vieira revela como fanatismo por Bolsonaro motivou atentado golpista | CPMI do Golpe,"Jun 23, 2023",444468,33267.2008,1215,380.921,3117465,9.75
zdgMUpCODEU,Bolsonaristas passam vergonha no senado! Randolfe e Contarato destroem Moro,"May 9, 2023",418504,16065.8685,1050,379.304,1802261,19.13
jZ2BE4IfhqQ,"Histérico, Eduardo Bolsonaro surta e ataca deputado do PT! Veja a reação dos parlamentares ao caso","Apr 19, 2023",572546,47993.5676,1332,374.563,3324097,11.41
ebeT8VX83pQ,Jandira aperta Coronel e arranca provas contra Bolsonaro na CPMI do Golpe! ⚡️A casa vai cair!⚡️,"Jun 28, 2023",272704,24240.5981,599,350.166,1967597,9.37
 -y63uOiyJv4,Deltan Dallagnol tenta lacrar e é desmontado por Flávio Dino em audiência na Câmara!,"May 6, 2023",387238,30934.627,1136,326.251,2840113,7.68
iMhyrMpKStI,"💣 ""A verdade dói"" 💣 Contarato aponta conivência da PMDF com golpe e bolsonaristas se desesperam!","Jun 26, 2023",324074,31825.0106,764,320.009,2668186,7.66
ISsQ5teIdgI,"Boulos ""janta"" Ricardo Salles e desmascara Coronel Cid e Bolsonaro ao vivo!","May 20, 2023",355417,17072.597,1069,312.186,2466334,11.19
X1zZ1K_Gm8Y,"💣 Bomba no Arthur Lira 💣 Sua ex-esposa, Jullyene Lins, conta tudo sobre as malas de dinheiro! 💸","Jun 7, 2023",345193,20581.009,1176,305.291,2466441,9.22
xlQ7J5H6EwE,Explosivo! 💣 Duarte acusa Coronel Laward de conspiração e desmascara Mauro Cid na CPMI do Golpe!,"Jun 27, 2023",238716,26106.359,414,246.596,1757602,8.45
FHojtX7SDqI,🔥 CPMI Pega FOGO 🔥 Senador Contarato expõe mentiras e crimes de Silvinei Vasques,"Jun 20, 2023",234266,23940.3277,535,222.475,1397817,10.18
sAt2aM916ps,"🔥 CPMI Pega Fogo 🔥 Exército e GSI ocultaram crimes do golpe bolsonarista, revela ex-chefe da PMDF","Jun 26, 2023",202975,27556.6067,340,215.934,1348756,9.77
