Data,Receita estimada (USD)
2023-01-01,116.764
2023-01-02,11.611
2023-01-03,8.859
2023-01-04,4.967
2023-01-05,4.579
2023-01-06,4.792
2023-01-07,2.836
2023-01-08,23.331
2023-01-09,92.932
2023-01-10,49.34
2023-01-11,35.117
2023-01-12,28.947
2023-01-13,17.841
2023-01-14,13.789
2023-01-15,12.172
2023-01-16,14.775
2023-01-17,6.561
2023-01-18,8.106
2023-01-19,3.845
2023-01-20,3.23
2023-01-21,2.701
2023-01-22,2.703
2023-01-23,2.282
2023-01-24,2.562
2023-01-25,2.151
2023-01-26,2.084
2023-01-27,1.801
2023-01-28,1.528
2023-01-29,1.871
2023-01-30,1.838
2023-01-31,2.225
2023-02-01,2.188
2023-02-02,2.145
2023-02-03,2.099
2023-02-04,1.804
2023-02-05,1.655
2023-02-06,1.61
2023-02-07,2.015
2023-02-08,1.807
2023-02-09,1.8
2023-02-10,1.647
2023-02-11,1.613
2023-02-12,1.767
2023-02-13,1.898
2023-02-14,2.083
2023-02-15,2.058
2023-02-16,1.892
2023-02-17,1.908
2023-02-18,1.578
2023-02-19,1.864
2023-02-20,1.932
2023-02-21,2.204
2023-02-22,2.119
2023-02-23,2.379
2023-02-24,1.866
2023-02-25,3.265
2023-02-26,2.135
2023-02-27,2.683
2023-02-28,2.638
2023-03-01,2.619
2023-03-02,4.202
2023-03-03,2.236
2023-03-04,1.83
2023-03-05,3.199
2023-03-06,4.298
2023-03-07,2.531
2023-03-08,4.809
2023-03-09,3.901
2023-03-10,2.387
2023-03-11,2.339
2023-03-12,2.323
2023-03-13,7.987
2023-03-14,5.124
2023-03-15,17.995
2023-03-16,8.892
2023-03-17,5.408
2023-03-18,3.313
2023-03-19,3.324
2023-03-20,4.038
2023-03-21,3.128
2023-03-22,7.05
2023-03-23,5.636
2023-03-24,4.481
2023-03-25,451.078
2023-03-26,160.549
2023-03-27,84.075
2023-03-28,52.591
2023-03-29,180.085
2023-03-30,56.997
2023-03-31,84.995
2023-04-01,94.468
2023-04-02,47.252
2023-04-03,42.233
2023-04-04,55.871
2023-04-05,36.847
2023-04-06,57.746
2023-04-07,38.906
2023-04-08,35.408
2023-04-09,33.156
2023-04-10,47.12
2023-04-11,50.764
2023-04-12,167.714
2023-04-13,171.282
2023-04-14,157.992
2023-04-15,97.687
2023-04-16,53.098
2023-04-17,64.313
2023-04-18,75.123
2023-04-19,359.594
2023-04-20,223.974
2023-04-21,141.34
2023-04-22,42.301
2023-04-23,73.921
2023-04-24,51.244
2023-04-25,66.468
2023-04-26,129.614
2023-04-27,297.967
2023-04-28,131.084
2023-04-29,97.562
2023-04-30,31.061
2023-05-01,34.567
2023-05-02,31.642
2023-05-03,65.493
2023-05-04,44.598
2023-05-05,27.106
2023-05-06,81.895
2023-05-07,135.35
2023-05-08,40.834
2023-05-09,327.481
2023-05-10,321.033
2023-05-11,262.527
2023-05-12,190.65
2023-05-13,104.778
2023-05-14,101.202
2023-05-15,173.488
2023-05-16,179.802
2023-05-17,229.537
2023-05-18,170.857
2023-05-19,100.236
2023-05-20,173.193
2023-05-21,147.331
2023-05-22,162.92
2023-05-23,190.542
2023-05-24,164.002
2023-05-25,194.864
2023-05-26,177.319
2023-05-27,246.288
2023-05-28,161.854
2023-05-29,188.895
2023-05-30,107.875
2023-05-31,298.725
2023-06-01,139.236
2023-06-02,131.338
2023-06-03,143.324
2023-06-04,122.745
2023-06-05,130.678
2023-06-06,188.176
2023-06-07,283.455
2023-06-08,221.103
2023-06-09,97.275
2023-06-10,69.263
2023-06-11,91.705
2023-06-12,81.703
2023-06-13,211.668
2023-06-14,247.039
2023-06-15,361.777
2023-06-16,226.205
2023-06-17,184.327
2023-06-18,222.968
2023-06-19,319.252
2023-06-20,449.69
2023-06-21,664.734
2023-06-22,392.651
2023-06-23,507.945
2023-06-24,276.617
2023-06-25,222.031
2023-06-26,528.497
2023-06-27,1174.637
2023-06-28,857.644
2023-06-29,386.752
